question,answer a,answer b,answer c,answer d,marked,seen
{Penelitian|Riset|Studi} merupakan kegiatan ilmiah yang dilakukan secara sistematis. Tujuan utama dari kegiatan tersebut adalah untuk apa?,Memperoleh {dan|serta} mengembangkan pengetahuan baru secara terarah.,Mengumpulkan opini tanpa proses analisis.,Menyusun dugaan tanpa dasar ilmiah.,Menyalin hasil penelitian orang lain.,0,1
"{Metodologi|Metode} penelitian sering disebut sebagai ilmu tentang cara melakukan sesuatu secara teratur. Dalam konteks penelitian, fungsi utama metodologi {adalah|ialah|merupakan} {apa|gerangan}?",Mengatur tahapan penelitian agar prosesnya terencana {dan|serta} terkontrol.,Menggantikan peran data dalam penelitian.,Menghilangkan kebutuhan metode penelitian.,Menentukan hasil tanpa melalui proses.,0,1
Metode dan metodologi sering dianggap sama. Pernyataan yang paling tepat mengenai hubungan keduanya {adalah|ialah|merupakan} {apa|gerangan}?,"{Metodologi|Studi metode} berisi tahapan, sedangkan metode {adalah|merupakan|ialah|yaitu} cara menyelesaikan tiap tahapan.",{Metode|Teknik|Cara} lebih luas dari metodologi.,{Metodologi|Studi metode} {hanya|cuma|semata-mata} digunakan setelah penelitian selesai.,{Metode|Teknik|Cara} {tidak|tak|bukan} termasuk bagian dari metodologi.,0,1
Suatu penelitian {ber{tujuan|maksud|gol}|bermaksud|memiliki target} menambah teori tanpa tuntutan aplikasi langsung. Kategori penelitian yang sesuai dengan {tujuan|maksud|gol} tersebut {adalah|ialah|merupakan} {apa|gerangan}?,{Penelitian|Riset|Studi} dasar (basic research).,{Penelitian|Riset|Studi} terapan (applied research).,{Penelitian|Riset|Studi} korelasional.,{Penelitian|Riset|Studi} eksperimental.,0,1
{Penelitian|Riset|Studi} yang dirancang untuk menyelesaikan {masalah|problematika|persoalan|isu} nyata di {masyarakat|publik|warga} dan hasilnya cepat diterapkan {termasuk|tergolong|masuk} {jenis|kategori|tipe} {apa|mana}?,{Penelitian|Riset|Studi} terapan (applied research).,{Penelitian|Riset|Studi} dasar.,{Penelitian|Riset|Studi} deskriptif.,{Penelitian|Riset|Studi} eksploratif.,0,1
{Penelitian|Riset|Studi} yang hanya menggambarkan kondisi atau {fenomena|gejala|kejadian} yang sedang terjadi tanpa mengontrol variabel {disebut|dinamakan|dikenal sebagai} {apa|sebagai apa}?,{Penelitian|Riset|Studi} deskriptif.,{Penelitian|Riset|Studi} eksperimental.,{Penelitian|Riset|Studi} prediktif.,{Penelitian|Riset|Studi} kausal.,0,1
Seorang peneliti {menggunakan|memakai|memanfaatkan} {data|informasi|fakta} lama lalu mengevaluasinya secara {kritis|tajam|mendalam} untuk menjelaskan fenomena. Pendekatan ini {disebut|dinamakan|dikenal sebagai} {apa|sebagai apa}?,{Penelitian|Riset|Studi} analitik.,{Penelitian|Riset|Studi} eksploratif.,{Penelitian|Riset|Studi} survei.,{Penelitian|Riset|Studi} dasar.,0,1
"Fokus penelitian pada perilaku, sikap, dan kualitas non-angka menunjukkan penggunaan pendekatan apa?",{Penelitian|Riset|Studi} kualitatif.,{Penelitian|Riset|Studi} kuantitatif.,{Penelitian|Riset|Studi} statistik.,{Penelitian|Riset|Studi} eksperimental.,0,1
"Penggunaan pengukuran numerik, statistik, korelasi, dan regresi merupakan ciri dari penelitian apa?",{Penelitian|Riset|Studi} kuantitatif.,{Penelitian|Riset|Studi} kualitatif.,{Penelitian|Riset|Studi} deskriptif.,{Penelitian|Riset|Studi} eksploratif.,0,1
"{Penelitian|Riset|Studi} yang {ber{tujuan|maksud|gol}|bermaksud|memiliki target} melihat hubungan antara dua variabel, seperti teknologi dan pekerjaan, {termasuk|tergolong|masuk} {jenis|kategori|tipe} {apa|mana}?",{Penelitian|Riset|Studi} korelasional.,{Penelitian|Riset|Studi} eksperimental.,{Penelitian|Riset|Studi} dasar.,{Penelitian|Riset|Studi} deskriptif.,0,1
{Penelitian|Riset|Studi} didefinisikan sebagai proses sistematis untuk mengumpulkan dan menganalisis data. Hasil utama yang ingin dicapai dari proses tersebut {adalah|ialah|merupakan} {apa|gerangan}?,Meningkatkan pemahaman terhadap suatu fenomena secara ilmiah.,Menghasilkan dugaan tanpa dasar metode.,Menyusun pendapat pribadi tanpa data.,Menyalin informasi {yang|yang mana|dimana} sudah ada.,0,1
"{Metodologi|Metode} penelitian mencakup tahapan, teknik, dan alat. Peran utamanya dalam suatu penelitian {adalah|ialah|merupakan} {apa|gerangan}?",Membimbing peneliti agar setiap langkah dilakukan secara terstruktur.,Menggantikan fungsi analisis data.,Menentukan kesimpulan sejak awal penelitian.,Menghilangkan kebutuhan perencanaan.,0,1
Metode penelitian digunakan pada setiap tahap metodologi. Fungsi {metode|teknik|cara} dalam penelitian {adalah|ialah|merupakan} {apa|gerangan}?,Menjadi cara {atau|ataupun} teknik {untuk|guna|bagi} melaksanakan tindakan penelitian.,Menjadi tujuan akhir dari penelitian.,Menjadi hasil dari proses analisis.,Menjadi pengganti variabel penelitian.,0,1
{Penelitian|Riset|Studi} yang tidak ditujukan untuk aplikasi langsung tetapi menambah kumpulan teori {termasuk|tergolong|masuk} {jenis|kategori|tipe} {apa|mana}?,{Penelitian|Riset|Studi} dasar.,{Penelitian|Riset|Studi} terapan.,{Penelitian|Riset|Studi} korelasional.,{Penelitian|Riset|Studi} eksperimen.,0,1
{Penelitian|Riset|Studi} yang berfokus pada pemecahan {masalah|problematika|persoalan|isu} praktis di lapangan termasuk kategori apa?,{Penelitian|Riset|Studi} terapan.,{Penelitian|Riset|Studi} dasar.,{Penelitian|Riset|Studi} deskriptif.,{Penelitian|Riset|Studi} eksploratif.,0,1
Tujuan utama penelitian deskriptif dalam suatu studi {adalah|ialah|merupakan} {apa|gerangan}?,Menggambarkan kondisi {atau|ataupun} fenomena {yang|yang mana|dimana} sedang terjadi.,Mengendalikan seluruh variabel penelitian.,Merancang solusi langsung bagi masalah.,Menentukan hubungan sebab akibat.,0,1
Pendekatan penelitian yang menganalisis fakta yang sudah tersedia untuk evaluasi {kritis|tajam|mendalam} {disebut|dinamakan|dikenal sebagai} {apa|sebagai apa}?,{Penelitian|Riset|Studi} analitik.,{Penelitian|Riset|Studi} eksploratif.,{Penelitian|Riset|Studi} survei.,{Penelitian|Riset|Studi} dasar.,0,1
"{Penelitian|Riset|Studi} yang menekankan kualitas, sikap, dan perilaku subjek lebih tepat {menggunakan|memakai|memanfaatkan} pendekatan apa?",{Penelitian|Riset|Studi} kualitatif.,{Penelitian|Riset|Studi} kuantitatif.,{Penelitian|Riset|Studi} statistik.,{Penelitian|Riset|Studi} eksperimental.,0,1
"Penggunaan {data|informasi|fakta} numerik, perhitungan statistik, dan {analisis|kajian|telaah} kuantitas menunjukkan jenis penelitian apa?",{Penelitian|Riset|Studi} kuantitatif.,{Penelitian|Riset|Studi} kualitatif.,{Penelitian|Riset|Studi} deskriptif.,{Penelitian|Riset|Studi} eksploratif.,0,1
{Penelitian|Riset|Studi} yang {ber{tujuan|maksud|gol}|bermaksud|memiliki target} mengetahui keterkaitan antara dua variabel termasuk penelitian apa?,{Penelitian|Riset|Studi} korelasional.,{Penelitian|Riset|Studi} eksperimen.,{Penelitian|Riset|Studi} dasar.,{Penelitian|Riset|Studi} deskriptif.,0,1
Masalah penelitian dapat dipahami sebagai pertanyaan ilmiah. Fungsi utama dari {masalah|problematika|persoalan|isu} penelitian dalam suatu studi {adalah|ialah|merupakan} {apa|gerangan}?,Menyatakan situasi {yang|yang mana|dimana} membutuhkan penyelidikan {dan|serta} solusi secara ilmiah.,Menentukan hasil tanpa proses analisis.,Menggantikan peran metodologi penelitian.,Menyusun kesimpulan sebelum penelitian dilakukan.,0,1
Tahap paling awal dalam proses penelitian berkaitan langsung dengan {masalah|problematika|persoalan|isu} penelitian. Kegiatan utama pada tahap tersebut {adalah|ialah|merupakan} {apa|gerangan}?,Mengidentifikasi {dan|serta} merumuskan masalah penelitian dengan tepat.,Mengolah data hasil penelitian.,Menyebarkan hasil penelitian ke publik.,Menyusun laporan akhir penelitian.,0,1
Suatu {masalah|problematika|persoalan|isu} penelitian yang baik harus memiliki karakteristik tertentu. Salah satu ciri utamanya {adalah|ialah|merupakan} {apa|gerangan}?,Mengandung hubungan antara dua variabel {atau|ataupun} lebih.,Bersifat umum tanpa batasan ruang lingkup.,Tidak memerlukan data {untuk|guna|bagi} dianalisis.,Hanya berisi opini peneliti.,0,1
"Agar sebuah {masalah|problematika|persoalan|isu} layak diteliti, kondisi yang harus ada dalam konteks penelitian {adalah|ialah|merupakan} {apa|gerangan}?",Adanya pihak {atau|ataupun} masyarakat {yang|yang mana|dimana} mengalami kesulitan {yang|yang mana|dimana} perlu diselesaikan.,Tidak adanya tujuan {yang|yang mana|dimana} ingin dicapai.,Tidak tersedia alternatif solusi.,Tidak ada lingkungan terjadinya masalah.,0,1
Kompleksitas suatu {masalah|problematika|persoalan|isu} penelitian bisa meningkat karena berbagai faktor. Salah satu penyebab {masalah|problematika|persoalan|isu} menjadi rumit {adalah|ialah|merupakan} {apa|gerangan}?,Terjadinya perubahan lingkungan {yang|yang mana|dimana} mempengaruhi efisiensi tindakan penelitian.,Adanya satu variabel {yang|yang mana|dimana} mudah dikontrol.,Tidak adanya pihak {yang|yang mana|dimana} terlibat dalam penelitian.,Masalah berskala kecil {dan|serta} sederhana.,0,1
Sumber {masalah|problematika|persoalan|isu} penelitian dapat diperoleh dari berbagai media ilmiah. Contoh sumber yang tepat untuk menemukan {masalah|problematika|persoalan|isu} penelitian {adalah|ialah|merupakan} {apa|gerangan}?,"Jurnal, buku, laporan penelitian, {dan|serta} diskusi ilmiah.",Opini pribadi tanpa referensi.,Tebakan berdasarkan pengalaman singkat.,Informasi acak tanpa validasi.,0,1
{Penelitian|Riset|Studi} sebelumnya sering dijadikan dasar untuk menemukan {masalah|problematika|persoalan|isu} baru. Alasan utama penggunaan penelitian sebelumnya sebagai sumber {masalah|problematika|persoalan|isu} {adalah|ialah|merupakan} {apa|gerangan}?,Karena penelitian terdahulu memiliki keterbatasan {dan|serta} saran {untuk|guna|bagi} pengembangan lanjutan.,Karena selalu menghasilkan jawaban final.,Karena {tidak|tak|bukan} membutuhkan analisis tambahan.,Karena menggantikan kebutuhan studi literatur.,0,1
"Dalam memilih {masalah|problematika|persoalan|isu} penelitian, ukuran {masalah|problematika|persoalan|isu} perlu diperhatikan. Sikap yang tepat terhadap {masalah|problematika|persoalan|isu} yang terlalu besar adalah bagaimana?",Menghindari {atau|ataupun} mempersempit ruang lingkupnya agar dapat diteliti.,Memilihnya tanpa mempertimbangkan kemampuan peneliti.,Memperluasnya agar lebih kompleks.,Mengabaikan keterbatasan waktu {dan|serta} biaya.,0,1
Proses mendefinisikan {masalah|problematika|persoalan|isu} penelitian {ber{tujuan|maksud|gol}|bermaksud|memiliki target} untuk apa?,Menghindari kebingungan {dan|serta} memperjelas arah penelitian secara sistematis.,Menentukan kesimpulan sejak awal.,Mengurangi kebutuhan pengumpulan data.,Menghapus batasan penelitian.,0,1
alah satu {langkah|tahapan|prosedur} penting dalam mendefinisikan {masalah|problematika|persoalan|isu} penelitian adalah survei literatur. Fungsi utama dari survei literatur tersebut {adalah|ialah|merupakan} {apa|gerangan}?,Memahami konteks masalah berdasarkan sumber ilmiah {yang|yang mana|dimana} tersedia.,Menggantikan proses pengumpulan data lapangan.,Menentukan hasil penelitian tanpa analisis.,Menyederhanakan masalah tanpa referensi.,0,1
"Masalah penelitian sering dirumuskan dalam bentuk pertanyaan. Dalam konteks hubungan variabel, {masalah|problematika|persoalan|isu} penelitian biasanya menanyakan tentang apa?",Keterkaitan antara dua variabel {atau|ataupun} lebih dalam suatu fenomena.,Jumlah sampel {yang|yang mana|dimana} digunakan peneliti.,Teknik penulisan laporan penelitian.,Urutan penyajian hasil penelitian.,0,1
"Ketika peneliti mengidentifikasi berbagai aspek dalam suatu area {masalah|problematika|persoalan|isu}, {tujuan|maksud|gol} utamanya {adalah|ialah|merupakan} {apa|gerangan}?",Memfokuskan penelitian pada aspek {yang|yang mana|dimana} penting {dan|serta} menarik {untuk|guna|bagi} diselesaikan.,Memperluas masalah agar semakin kompleks.,Menghilangkan batasan ruang lingkup penelitian.,Menyusun semua aspek tanpa seleksi.,0,1
Pernyataan {masalah|problematika|persoalan|isu} penelitian sebaiknya dibuat jelas dan tidak ambigu. Tujuan dari kejelasan ini {adalah|ialah|merupakan} {apa|gerangan}?,Agar makna masalah {tidak|tak|bukan} menimbulkan penafsiran {yang|yang mana|dimana} berbeda-beda.,Agar masalah terlihat lebih panjang.,Agar peneliti bebas mengubah tujuan di tengah penelitian.,Agar ruang lingkup penelitian {tidak|tak|bukan} terbatas.,0,1
"Salah satu kriteria {masalah|problematika|persoalan|isu} penelitian adalah signifikan. Dalam konteks ini, signifikan berarti apa?",Masalah {tidak|tak|bukan} sepele {dan|serta} bukan pengulangan dari penelitian sebelumnya.,Masalah mudah {dan|serta} cepat diselesaikan.,Masalah {hanya|cuma|semata-mata} menarik bagi peneliti saja.,Masalah {tidak|tak|bukan} memerlukan data pendukung.,0,1
"Dalam menentukan {masalah|problematika|persoalan|isu} penelitian, peneliti perlu mempertimbangkan adanya {tujuan|maksud|gol}. Fungsi {tujuan|maksud|gol} dalam {masalah|problematika|persoalan|isu} penelitian {adalah|ialah|merupakan} {apa|gerangan}?",Menjadi arah tindakan {dan|serta} solusi {yang|yang mana|dimana} ingin dicapai.,Menjadi hasil akhir tanpa proses.,Menjadi pengganti metodologi penelitian.,Menjadi batas {untuk|guna|bagi} menghindari analisis.,0,1
Keraguan peneliti dalam memilih alternatif solusi justru penting dalam {masalah|problematika|persoalan|isu} penelitian. Peran keraguan tersebut {adalah|ialah|merupakan} {apa|gerangan}?,Mendorong peneliti melakukan kajian lebih mendalam terhadap pilihan {yang|yang mana|dimana} ada.,Menghentikan proses penelitian sejak awal.,Mengurangi kebutuhan pengumpulan data.,Menetapkan jawaban sebelum penelitian dilakukan.,0,1
Perkembangan teknologi sering melahirkan peluang penelitian baru. Dampak utama perkembangan teknologi terhadap {masalah|problematika|persoalan|isu} penelitian {adalah|ialah|merupakan} {apa|gerangan}?,Memunculkan masalah {dan|serta} topik baru {yang|yang mana|dimana} dapat diteliti.,Menghilangkan kebutuhan penelitian ilmiah.,Membatasi sumber masalah penelitian.,Menyederhanakan semua permasalahan menjadi sama.,0,1
Konsultasi dengan pakar digunakan dalam mencari {masalah|problematika|persoalan|isu} penelitian. Tujuan utama konsultasi tersebut {adalah|ialah|merupakan} {apa|gerangan}?,Membantu mengembangkan masalah {yang|yang mana|dimana} masih kabur {atau|ataupun} rumit agar dapat diteliti.,Menentukan hasil penelitian secara langsung.,Menggantikan peran peneliti dalam berpikir.,Mengurangi kebutuhan studi literatur.,0,1
"Dalam memilih {masalah|problematika|persoalan|isu} penelitian, kesesuaian dengan minat peneliti perlu diperhatikan. Alasannya {adalah|ialah|merupakan} {apa|gerangan}?",Agar peneliti dapat menjalankan penelitian dengan motivasi {dan|serta} komitmen {yang|yang mana|dimana} baik.,Agar penelitian menjadi lebih panjang.,Agar masalah menjadi lebih kontroversial.,Agar metode {tidak|tak|bukan} perlu disiapkan.,0,1
"Saat mendefinisikan {masalah|problematika|persoalan|isu} penelitian, ruang lingkup perlu disebutkan secara eksplisit. Fungsi pembatasan ruang lingkup {adalah|ialah|merupakan} {apa|gerangan}?",Menjaga penelitian tetap fokus {dan|serta} {tidak|tak|bukan} melebar ke luar tujuan.,Menghilangkan variasi data {yang|yang mana|dimana} diperlukan.,Memperbesar masalah agar lebih kompleks.,Menyederhanakan analisis tanpa konteks.,0,1
Masalah penelitian menjadi dasar mengapa suatu penelitian dilakukan. Peran utama {masalah|problematika|persoalan|isu} penelitian dalam keseluruhan proses penelitian {adalah|ialah|merupakan} {apa|gerangan}?,Menjadi kunci penentu arah {dan|serta} kelayakan suatu penelitian.,Menjadi bagian akhir dari laporan penelitian.,Menjadi hasil otomatis tanpa analisis.,Menjadi pelengkap metodologi penelitian saja.,0,1
Masalah penelitian yang baik tidak boleh ambigu. Maksud dari tidak ambigu dalam perumusan {masalah|problematika|persoalan|isu} {adalah|ialah|merupakan} {apa|gerangan}?,Maknanya jelas {dan|serta} {tidak|tak|bukan} menimbulkan penafsiran ganda.,Kalimatnya harus panjang {dan|serta} kompleks.,Dapat diubah sewaktu-waktu tanpa alasan.,Tidak perlu didefinisikan secara khusus.,0,1
Salah satu karakteristik {masalah|problematika|persoalan|isu} penelitian adalah dapat digunakan untuk memperoleh informasi. Tujuan dari karakteristik tersebut {adalah|ialah|merupakan} {apa|gerangan}?,Memungkinkan peneliti mengumpulkan data {yang|yang mana|dimana} relevan {untuk|guna|bagi} mengeksplorasi masalah.,Menghindari proses pengumpulan data.,Menentukan kesimpulan sejak awal.,Membatasi penggunaan metode penelitian.,0,1
"Dalam konteks kelayakan, {masalah|problematika|persoalan|isu} penelitian harus memiliki cara tindakan. Maksud dari cara tindakan dalam {masalah|problematika|persoalan|isu} penelitian {adalah|ialah|merupakan} {apa|gerangan}?",Tersedianya kemungkinan solusi {atau|ataupun} langkah {untuk|guna|bagi} mencapai tujuan penelitian.,Menentukan hasil tanpa proses penelitian.,Menghilangkan kebutuhan analisis data.,Menyederhanakan masalah tanpa strategi.,0,1
Perubahan pada lingkungan penelitian dapat memengaruhi {masalah|problematika|persoalan|isu} yang diteliti. Dampak utama perubahan tersebut {adalah|ialah|merupakan} {apa|gerangan}?,Mempengaruhi efisiensi tindakan {dan|serta} nilai hasil penelitian.,Menghilangkan kebutuhan perumusan masalah.,Membuat penelitian {tidak|tak|bukan} memerlukan data.,Menyebabkan masalah selalu menjadi sederhana.,0,1
Diskusi ilmiah dan seminar sering digunakan sebagai sumber {masalah|problematika|persoalan|isu} penelitian. Fungsi utama forum ilmiah tersebut {adalah|ialah|merupakan} {apa|gerangan}?,"Menyediakan gagasan, isu, {dan|serta} temuan {yang|yang mana|dimana} dapat dikembangkan menjadi masalah penelitian.",Menentukan kesimpulan penelitian secara langsung.,Menggantikan metode penelitian.,Mengurangi kebutuhan referensi ilmiah.,0,1
Studi pendahuluan dilakukan sebelum memilih {masalah|problematika|persoalan|isu} penelitian. Tujuan utama studi pendahuluan {adalah|ialah|merupakan} {apa|gerangan}?,Memahami kondisi awal {dan|serta} kelayakan masalah {yang|yang mana|dimana} akan diteliti.,Menyusun hasil penelitian lebih awal.,Menghilangkan kebutuhan survei literatur.,Menentukan jawaban tanpa data.,0,1
Masalah penelitian sebaiknya diuraikan dari umum ke khusus. Manfaat pendekatan tersebut {adalah|ialah|merupakan} {apa|gerangan}?,Membentuk permasalahan {yang|yang mana|dimana} lebih spesifik {dan|serta} terarah.,Memperluas ruang lingkup penelitian.,Menjadikan masalah semakin abstrak.,Menghilangkan fokus penelitian.,0,1
"Dalam mendefinisikan {masalah|problematika|persoalan|isu}, asumsi dasar perlu dinyatakan dengan jelas. Fungsi pernyataan asumsi tersebut {adalah|ialah|merupakan} {apa|gerangan}?",Menjelaskan landasan berpikir {yang|yang mana|dimana} digunakan dalam penelitian.,Menentukan kesimpulan sebelum penelitian dilakukan.,Mengurangi kebutuhan metode penelitian.,Menghilangkan batasan masalah.,0,1
Kesesuaian waktu dan ketersediaan {data|informasi|fakta} perlu dipertimbangkan saat mendefinisikan {masalah|problematika|persoalan|isu}. Tujuan pertimbangan tersebut {adalah|ialah|merupakan} {apa|gerangan}?,Menjamin masalah dapat diteliti secara realistis {dan|serta} terukur.,Memperbesar skala penelitian.,Menghilangkan keterbatasan peneliti.,Menyederhanakan analisis tanpa data.,0,1
